,1,2,3,4,5,6,7,8,9,10
West End,Homecraft,Animal Services,Machinery Dealer,Manufacturer - Food,Apartment House,Food Processing,Dry Cleaner,Contractor - Special Trades,Billiard Room Keeper,Bingo Hall
Central Business/Downtown,Livery & Feed Stables,Pet Store,Electrical-Temporary (Filming),Personal Services,Carpet/Upholstery Cleaner,Equipment Operator,Junk Dealer,Apartment House,Exhibitions/Shows/Concerts,Business Services
Strathcona,Horse Racing,Plumber & Gas Contractor,Financial Institution,Manufacturer - Food with Anc. Retail,Manufacturer with Anc. Retail,Auto Parking Lot/Parkade,Financial Services,Health and Beauty,Manufacturer,Peddler
Grandview-Woodland,Animal Clinic/Hospital,Liquor Establishment Standard,Liquor License Application,Liquor Delivery Services,Peddler,Carpet/Upholstery Cleaner,Painter,Janitorial Services,Hotel,Physical Therapist
Hastings-Sunrise,Hotel,Moving/Transfer Service,Beauty Services,Horse Racing,Marina Operator,Financial Institution,Dating Services,Physical Therapist,Manufacturer with Anc. Retail,Marine Services
West Point Grey,Duplex,Dry Cleaner,Funeral Services,Horse Racing,Animal Clinic/Hospital,Auto Detailing,Bowling Alley,Food Processing,Contractor - Special Trades,Business Services
Kitsilano,Animal Services,Jeweller,Instruction,Massage Therapist,ESL Instruction,Business Services,Junk Dealer,Marine Services,Gas Contractor,Bingo Hall
Fairview,Laundry-Coin Operated Services,Electrical-Security Alarm Installation,Multiple Dwelling,Animal Services,Motel,Duplex,Health and Beauty,Booking Agency,Electrical-Temporary (Filming),Boot & Shoe Repairs
Mount Pleasant,Liquor Retail Store,Animal Services,Personal Care Home,Liquor Establishment Standard,Computer Services,Referral Services,Pawnbroker,Live-aboards,Laboratory,Jeweller
Dunbar-Southlands,Educational,ESL Instruction,Auto Painter & Body Shop,Junk Dealer,Horse Racing,Business Services,Carpet/Upholstery Cleaner,Dance Hall,Caterer,Homecraft
Arbutus Ridge,Educational,ESL Instruction,Boot & Shoe Repairs,Amusement Park,Health Services,Auctioneer,Carpet/Upholstery Cleaner,Contractor - Special Trades,Fitness Centre,Gasoline Station
Shaughness,Caterer,Club,Casino,Artist,Amusement Park,Beauty Services,Electrical-Security Alarm Installation,Auto Wholesaler,Exhibitions/Shows/Concerts,Electrical Contractor
South Cambie,Dry Cleaner,Bowling Alley,Dating Services,Auto Washer,Health Services,Auto Detailing,Animal Clinic/Hospital,Cosmetologist,Fitness Centre,Computer Services
Riley Park,Locksmith,Fitness Centre,Financial Services,Liquor Establishment Extended ,Liquor Delivery Services,Contractor,Animal Clinic/Hospital,Billiard Room Keeper,Auto Washer,Family Sports & Entertain Ctr
Kensington-Cedar Cottage,Photo Services,Laundry (w/equipment),One-Family Dwelling,Landscape Gardener,Billiard Room Keeper,Electrical-Security Alarm Installation,Business Services,Non-profit Housing,Health and Beauty,Painter
Renfrew-Collingwood,Janitorial Services,Painter,Instruction,Beauty Services,Massage Therapist,Electrical-Security Alarm Installation,Dry Cleaner,Marine Services,Fitness Centre,Model Agency
Kerrisdale,Educational,Electrical Contractor,Animal Clinic/Hospital,Boot & Shoe Repairs,Gasoline Station,Auto Painter & Body Shop,Gas Contractor,Bowling Alley,Auto Repairs,Janitorial Services
Oakridge,Billiard Room Keeper,Contractor,Exhibitions/Shows/Concerts,Contractor - Special Trades,Artist Live/Work Studio,Casino,Adult Entertainment Store,Gas Contractor,Family Sports & Entertain Ctr,Auto Detailing
Sunset,Painter,Janitorial Services,Bed and Breakfast,Money Services,Instruction,Plumber & Gas Contractor,Motel,Electrical-Temporary (Filming),Fitness Centre,Duplex
Victoria-Fraserview,Employment Agency,Artist Live/Work Studio,Laundry (w/equipment),Electrical-Temporary (Filming),Boot & Shoe Repairs,Instruction,Janitorial Services,Contractor,Casino,Assembly Hall
Killarney,Electrical-Temporary (Filming),Auto Dealer,Electrical-Security Alarm Installation,Liquor Delivery Services,Jeweller,Bowling Alley,Animal Services,Caterer,Auto Detailing,Cosmetologist
Marpole,Animal Clinic/Hospital,Homecraft,Horse Racing,Beauty Services,Peddler,Manufacturer,Financial Institution,Boat Charter Services,Artist Live/Work Studio,Cosmetologist
